Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
2-комнатная квартира · 51 м² · 17/17 этаж,35500000,Алматы,Ауэзовский,2016.0,2,51.0,17.0,24 нояб.,269
4-комнатная квартира · 149 м² · 8/16 этаж,119900000,Алматы,Бостандыкский,2008.0,4,149.0,8.0,24 нояб.,178
2-комнатная квартира · 55 м² · 8/12 этаж,42000000,Алматы,Бостандыкский,2021.0,2,55.0,8.0,24 нояб.,180
3-комнатная квартира · 60 м² · 3/4 этаж,30000000,Алматы,,1976.0,3,60.0,3.0,24 нояб.,1253
3-комнатная квартира · 85 м² · 11/16 этаж,46500000,Алматы,,2022.0,3,85.0,11.0,24 нояб.,99
1-комнатная квартира · 30.4 м²,10032000,Алматы,,2027.0,1,30.4,,24 нояб.,67727
2-комнатная квартира · 52 м² · 4/5 этаж,30500000,Алматы,,1998.0,2,52.0,4.0,24 нояб.,293
2-комнатная квартира · 57 м² · 2/12 этаж,36000000,Алматы,,2017.0,2,57.0,2.0,24 нояб.,252
3-комнатная квартира · 57.9 м² · 3/4 этаж,40500000,Алматы,,1963.0,3,57.9,3.0,24 нояб.,152
2-комнатная квартира · 62.5 м²,43750000,Алматы,,2024.0,2,62.5,,24 нояб.,6532
3-комнатная квартира · 98.1 м²,83385000,Алматы,,2024.0,3,98.1,,24 нояб.,17508
2-комнатная квартира · 58 м² · 2/12 этаж,34600000,Алматы,,2017.0,2,58.0,2.0,24 нояб.,178
3-комнатная квартира · 92.2 м² · 12/13 этаж,67000000,Алматы,,2009.0,3,92.2,12.0,24 нояб.,247
4-комнатная квартира · 73.9 м² · 1/4 этаж,40500000,Алматы,,1972.0,4,73.9,1.0,24 нояб.,92
1-комнатная квартира · 41.67 м²,25202016,Алматы,,2025.0,1,41.67,,24 нояб.,3244
4-комнатная квартира · 108.1 м² · 3/12 этаж,69000000,Алматы,,2022.0,4,108.1,3.0,24 нояб.,162
2-комнатная квартира · 52.31 м²,43417300,Алматы,,2025.0,2,52.31,,24 нояб.,402
3-комнатная квартира · 93.33 м²,75130650,Алматы,,2022.0,3,93.33,,24 нояб.,12441
2-комнатная квартира · 40.3 м² · 1/2 этаж,23500000,Алматы,,1961.0,2,40.3,1.0,24 нояб.,3454
1-комнатная квартира · 30.2 м² · 8/9 этаж,21500000,Алматы,,1986.0,1,30.2,8.0,24 нояб.,537
2-комнатная квартира · 57 м² · 4/5 этаж,34500000,Алматы,,1989.0,2,57.0,4.0,24 нояб.,1119
2-комнатная квартира · 60 м² · 7/9 этаж,27000000,Алматы,,1989.0,2,60.0,7.0,24 нояб.,2238
2-комнатная квартира · 56 м² · 6/9 этаж,33000000,Алматы,,2006.0,2,56.0,6.0,24 нояб.,761
3-комнатная квартира · 130 м² · 13/16 этаж,99000000,Алматы,,2008.0,3,130.0,13.0,24 нояб.,957
3-комнатная квартира · 168.7 м² · 4/6 этаж,160000000,Алматы,,2011.0,3,168.7,4.0,24 нояб.,180
2-комнатная квартира · 47 м² · 1/4 этаж,25000000,Алматы,,1980.0,2,47.0,1.0,24 нояб.,2589
2-комнатная квартира · 45 м² · 3/12 этаж,13500000,Алматы,,2025.0,2,45.0,3.0,24 нояб.,17049
3-комнатная квартира · 93 м² · 8/10 этаж,108000000,Алматы,,2017.0,3,93.0,8.0,24 нояб.,382
3-комнатная квартира · 97 м² · 9/12 этаж,86000000,Алматы,,2019.0,3,97.0,9.0,24 нояб.,357
