Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
Свободное назначение · 209 м²,78500000,375598,Алматы,Алатауский,,209.0,25 нояб.,197
Свободное назначение · 208 м²,80500000,387019,Алматы,Наурызбайский,,208.0,25 нояб.,166
"Свободное назначение, офисы, салоны красоты · 166.2 м²",648150000,3899819,Алматы,Медеуский,1995.0,166.2,25 нояб.,101
Магазины и бутики · 39 м²,26500000,679487,Алматы,,,39.0,25 нояб.,2739
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1610 м²",990000000,614907,Алматы,,2019.0,1610.0,25 нояб.,3
Свободное назначение · 340 м²,210000000,617647,Алматы,,2022.0,340.0,25 нояб.,402
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 430 м²",350000000,813953,Алматы,,2009.0,430.0,25 нояб.,100
"Бани, гостиницы и зоны отдыха · 94 м²",80000000,851064,Алматы,,2006.0,94.0,25 нояб.,172
Магазины и бутики · 45 м²,3000000,66667,Алматы,,2023.0,45.0,25 нояб.,221
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование · 93.3 м²",75000000,803859,Алматы,,2021.0,93.3,25 нояб.,102
Общепит · 75 м²,12000000,160000,Алматы,,,75.0,25 нояб.,232
"Азс, автосервисы и автомойки · 126 м²",125000000,992063,Алматы,,2015.0,126.0,25 нояб.,57
"Свободное назначение, офисы, склады, салоны красоты, образование, развлечения · 1955 м²",879750000,450000,Алматы,,2012.0,1955.0,25 нояб.,229
Свободное назначение · 159 м²,135000000,849057,Алматы,,1918.0,159.0,25 нояб.,106
"Азс, автосервисы и автомойки, бани, гостиницы и зоны отдыха, развлечения · 771 м²",450000000,583658,Алматы,,2008.0,771.0,25 нояб.,9
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 90 м²",89000000,988889,Алматы,,2016.0,90.0,25 нояб.,200
Свободное назначение · 1190 м²,816000000,685714,Алматы,,2010.0,1190.0,25 нояб.,94
Свободное назначение · 880 м²,980000000,1113636,Алматы,,2024.0,880.0,25 нояб.,458
Магазины и бутики · 85 м²,66500000,782353,Алматы,,2009.0,85.0,25 нояб.,9
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 249.8 м²",765000000,3062450,Алматы,,2021.0,249.8,25 нояб.,1
"Свободное назначение, склады · 6.7 м²",1200000,179104,Алматы,,2022.0,6.7,25 нояб.,54
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 445 м²",979000000,2200000,Алматы,,2024.0,445.0,25 нояб.,145
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 4491 м²",1292000000,287686,Алматы,,,4491.0,25 нояб.,980
Склады · 8 м²,1600000,200000,Алматы,,,8.0,25 нояб.,4375
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 65.3 м²",18950000,290199,Алматы,,2023.0,65.3,25 нояб.,4361
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование, развлечения · 37.9 м²",14500000,382586,Алматы,,2020.0,37.9,25 нояб.,2482
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 930 м²",2046000000,2200000,Алматы,,2024.0,930.0,25 нояб.,92
"Офисы, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 420 м²",228000000,542857,Алматы,,2009.0,420.0,25 нояб.,3848
"Свободное назначение, офисы, магазины и бутики · 935 м²",390000000,417112,Алматы,,2009.0,935.0,25 нояб.,223
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 48 м²",65000000,1354167,Алматы,,,48.0,25 нояб.,1260
Общепит · 1500 м²,635000000,423333,Алматы,,,1500.0,25 нояб.,4134
Свободное назначение · 522 м²,360000000,689655,Алматы,,1937.0,522.0,25 нояб.,1516
Склады · 39 м²,5000000,128205,Алматы,,2018.0,39.0,25 нояб.,29
"Свободное назначение, офисы, магазины и бутики, общепит, медцентры и аптеки, образование, развлечения · 850 м²",700000000,823529,Алматы,,2023.0,850.0,25 нояб.,5358
Магазины и бутики · 550 м²,590000000,1072727,Алматы,,2012.0,550.0,25 нояб.,614
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 76.9 м²",35000000,455137,Алматы,,2023.0,76.9,25 нояб.,2597
Общепит · 480 м²,200000000,416667,Алматы,,2007.0,480.0,25 нояб.,80
"Бани, гостиницы и зоны отдыха · 500 м²",699000000,1398000,Алматы,,,500.0,25 нояб.,4284
Свободное назначение · 2000 м²,1645000000,822500,Алматы,,2022.0,2000.0,25 нояб.,4372
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 200 м²",153000000,765000,Алматы,,2023.0,200.0,25 нояб.,258
Склады · 100 м²,2000000,20000,Алматы,,,100.0,25 нояб.,941
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 109.2 м²",115000000,1053114,Алматы,,1973.0,109.2,25 нояб.,53
"Свободное назначение, офисы, склады, общепит, салоны красоты, медцентры и аптеки, развлечения · 87 м²",80000000,919540,Алматы,,1999.0,87.0,25 нояб.,43
"Свободное назначение, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование · 30 м²",24000000,800000,Алматы,,2023.0,30.0,25 нояб.,910
Свободное назначение · 110 м²,95000000,863636,Алматы,,2023.0,110.0,25 нояб.,2070
"Свободное назначение, общепит, бани, гостиницы и зоны отдыха, развлечения · 1000 м²",900000000,900000,Алматы,,,1000.0,25 нояб.,969
Магазины и бутики · 50 м²,29000000,580000,Алматы,,2004.0,50.0,25 нояб.,3986
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 100.73 м²",78500000,779311,Алматы,,2024.0,100.73,25 нояб.,623
Офисы · 266 м²,252700000,950000,Алматы,,,266.0,25 нояб.,23
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 160 м²",145000000,906250,Алматы,,2008.0,160.0,25 нояб.,1711
Свободное назначение · 100 м²,51000000,510000,Алматы,,2012.0,100.0,25 нояб.,3989
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 63 м²",22500000,357143,Алматы,,2020.0,63.0,25 нояб.,135
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование, развлечения · 85 м²",143000000,1682353,Алматы,,1938.0,85.0,25 нояб.,232
Медцентры и аптеки · 85 м²,120000000,1411765,Алматы,,1985.0,85.0,25 нояб.,821
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 531 м²",380000000,715631,Алматы,,,531.0,25 нояб.,378
Офисы · 3000 м²,5200000000,1733333,Алматы,,,3000.0,25 нояб.,1089
Свободное назначение · 435.5 м²,272091750,624780,Алматы,,2016.0,435.5,25 нояб.,2457
Свободное назначение · 445.7 м²,295000000,661880,Алматы,,2016.0,445.7,25 нояб.,1681
Свободное назначение · 395.9 м²,260678376,658445,Алматы,,2013.0,395.9,25 нояб.,1939
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки · 65 м²",54000000,830769,Алматы,,2020.0,65.0,25 нояб.,799
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 4112 м²",3500000000,851167,Алматы,,2007.0,4112.0,25 нояб.,1605
Офисы · 65 м²,59900000,921538,Алматы,,2017.0,65.0,25 нояб.,5332
"Офисы, медцентры и аптеки, образование · 624 м²",330000000,528846,Алматы,,,624.0,25 нояб.,2314
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 45.8 м²",60000000,1310044,Алматы,,2023.0,45.8,25 нояб.,1449
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 47 м²",20000000,425532,Алматы,,2021.0,47.0,25 нояб.,114
"Свободное назначение, офисы, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 5693 м²",5000000000,878272,Алматы,,2019.0,5693.0,25 нояб.,1398
"Бани, гостиницы и зоны отдыха · 416 м²",83000000,199519,Алматы,,2017.0,416.0,25 нояб.,1992
"Свободное назначение, магазины и бутики · 65 м²",37500000,576923,Алматы,,2019.0,65.0,25 нояб.,84
Склады · 6 м²,2000000,333333,Алматы,,,6.0,25 нояб.,1713
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 100 м²",50000000,500000,Алматы,,2010.0,100.0,25 нояб.,196
Магазины и бутики · 97 м²,65000000,670103,Алматы,,,97.0,25 нояб.,333
Общепит · 1239 м²,950000000,766747,Алматы,,2009.0,1239.0,25 нояб.,965
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 57 м²",66000000,1157895,Алматы,,2002.0,57.0,25 нояб.,222
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 42.6 м²",30000000,704225,Алматы,,1975.0,42.6,25 нояб.,11258
Офисы · 3079.4 м²,2617490000,850000,Алматы,,2022.0,3079.4,25 нояб.,1226
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 1077 м²",650000000,603528,Алматы,,1977.0,1077.0,25 нояб.,1576
Свободное назначение · 1805 м²,600000000,332410,Алматы,,2012.0,1805.0,25 нояб.,759
Свободное назначение · 2100 м²,1460000000,695238,Алматы,,2023.0,2100.0,25 нояб.,4687
"Свободное назначение, офисы, салоны красоты, развлечения · 17.9 м²",19000000,1061453,Алматы,,2014.0,17.9,25 нояб.,1308
"Свободное назначение, офисы, магазины и бутики, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 5300 м²",3800000000,716981,Алматы,,2013.0,5300.0,25 нояб.,786
Свободное назначение · 144.9 м²,153000000,1055901,Алматы,,2013.0,144.9,25 нояб.,1836
"Свободное назначение, склады · 8.8 м²",1800000,204545,Алматы,,2021.0,8.8,25 нояб.,206
"Свободное назначение, офисы, медцентры и аптеки, образование · 750 м²",365750000,487667,Алматы,,,750.0,25 нояб.,1216
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 215 м²",200000000,930233,Алматы,,,215.0,25 нояб.,42
"Свободное назначение, офисы, медцентры и аптеки, образование, развлечения · 1650 м²",809200000,490424,Алматы,,,1650.0,25 нояб.,1068
Магазины и бутики · 43.3 м²,51000000,1177829,Алматы,,1967.0,43.3,25 нояб.,3353
Свободное назначение · 36.9 м²,27500000,745257,Алматы,,2013.0,36.9,25 нояб.,3495
Медцентры и аптеки · 121.4 м²,130000000,1070840,Алматы,,2009.0,121.4,25 нояб.,720
Склады · 2000 м²,300000000,150000,Алматы,,2024.0,2000.0,25 нояб.,561
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 163 м²",95000000,582822,Алматы,,1984.0,163.0,25 нояб.,1782
