Название,Цена,Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м.),Сотки,Дата,Просмотрено
Часть дома · 6 комнат · 155 м² · 9 сот.,50000000,Алматы,Медеуский,2000.0,6,155.0,9,24 нояб.,14527
Отдельный дом · 4 комнаты · 120 м² · 4 сот.,60000000,Алматы,Медеуский,2011.0,4,120.0,4,24 нояб.,4665
Отдельный дом · 6 комнат · 700 м² · 8 сот.,290000000,Алматы,Медеуский,2024.0,6,700.0,8,24 нояб.,1766
Отдельный дом · 5 комнат · 195 м² · 5.5 сот.,120000000,Алматы,,2024.0,5,195.0,5.5,24 нояб.,922
Дача · 5 комнат · 105 м² · 10 сот.,29999999,Алматы,,1990.0,5,105.0,10,24 нояб.,1013
Отдельный дом · 5 комнат · 20.5 м² · 7 сот.,43700000,Алматы,,2024.0,5,20.5,7,24 нояб.,154
Отдельный дом · 4 комнаты · 100 м² · 8 сот.,35000000,Алматы,,1960.0,4,100.0,8,24 нояб.,922
Дача · 2 комнаты · 60 м² · 12 сот.,9000000,Алматы,,,2,60.0,12,24 нояб.,16621
Отдельный дом · 4 комнаты · 115 м² · 5 сот.,85000000,Алматы,,1980.0,4,115.0,5,24 нояб.,176
Отдельный дом · 5 комнат · 90 м² · 4.9 сот.,30000000,Алматы,,1985.0,5,90.0,4.9,24 нояб.,1595
Отдельный дом · 5 комнат · 65 м² · 10 сот.,25000000,Алматы,,,5,65.0,10,24 нояб.,22458
Отдельный дом · 5 комнат · 186 м² · 6 сот.,135000000,Алматы,,2024.0,5,186.0,6,24 нояб.,115
Отдельный дом · 3 комнаты · 110 м² · 8.6 сот.,99000000,Алматы,,2021.0,3,110.0,8.6,24 нояб.,7638
Отдельный дом · 11 комнат · 447 м² · 16 сот.,250000000,Алматы,,,11,447.0,16,24 нояб.,348
Отдельный дом · 4 комнаты · 101 м² · 4 сот.,55000000,Алматы,,2021.0,4,101.0,4,24 нояб.,87
Отдельный дом · 12 комнат · 353 м² · 10 сот.,210000000,Алматы,,2010.0,12,353.0,10,24 нояб.,925
